,company,title,location,skills,joblinks
66,Agoda,"Senior Customer Insights Analyst (Bangkok Based, Relocation Provided)",,,https://de.linkedin.com/jobs/view/senior-customer-insights-analyst-bangkok-based-relocation-provided-at-agoda-3557538471?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=WnNXBk5DJyMykw7c6zb%2B8A%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
67,mgm technology partners,Business Analyst für die Modellierung von Web Applikationen (m/w/d),,,https://de.linkedin.com/jobs/view/business-analyst-f%C3%BCr-die-modellierung-von-web-applikationen-m-w-d-at-mgm-technology-partners-3551372008?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=lDbw46pRtgHEdhvPQDJXEQ%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
68,TUI,Business Analyst Fokus Conversion Rate Optimierung (m/w/d),,,https://de.linkedin.com/jobs/view/business-analyst-fokus-conversion-rate-optimierung-m-w-d-at-tui-2904311537?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=uOxggT3WuDSeP8l2NP2Z7g%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
69,Stromnetz Berlin GmbH,Business Analyst*in,,,https://de.linkedin.com/jobs/view/business-analyst-in-at-stromnetz-berlin-gmbh-3548470108?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=NmEkC2UGNkLLhZtZinpXzg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
70,Positive Thinking Company,Business Analyst (M/W/D),,,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-positive-thinking-company-3552411482?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=e35%2FAyY%2Brz1C95zNjQ5clw%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
71,]init[ - Services for the eSociety,Agile Business Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/agile-business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3481650522?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=IBY7a%2Fdgbk77sP%2BpHclIbg%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
72,iBeat recruiting Berlin,Business Analyst (m/f/d) - Energy/Tech,,,https://de.linkedin.com/jobs/view/business-analyst-m-f-d-energy-tech-at-ibeat-recruiting-berlin-3535825829?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=6H1DEHwPme5hbCHxBUwn3Q%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
73,KPMG Deutschland,Praktikum (w/m/d) Business Research & Analysis,,,https://de.linkedin.com/jobs/view/praktikum-w-m-d-business-research-analysis-at-kpmg-deutschland-3492135013?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=nskCuF0E5C3dV4WCUKe85Q%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
74,Deutsche Bahn,Business Analyst:in,,,https://de.linkedin.com/jobs/view/business-analyst-in-at-deutsche-bahn-3557538155?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=GueT7fMUCriqiXRSr8ghSw%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
75,Positive Thinking Company,Business Analyst (M/W/D),,,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-positive-thinking-company-3543369322?refId=YPpv8I4Qa9vkgtNOcKeTmA%3D%3D&trackingId=JMb1qZiSLCFRWRQUHQAluQ%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
76,Airbus,Business Analyst & Application Architect (m/w/d),,,https://de.linkedin.com/jobs/view/business-analyst-application-architect-m-w-d-at-airbus-3562056000?refId=YPpv8I4Qa9vkgtNOcKeTmA%3D%3D&trackingId=8zL63RoZtaMQ%2Fap7gsXWEQ%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
77,Worldline,Growth Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/growth-analyst-m-w-d-at-worldline-3511774360?refId=YPpv8I4Qa9vkgtNOcKeTmA%3D%3D&trackingId=bfOXZR4sE86n0jZLFjludQ%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
